category,subcategory,product_brand,product_name,ratings,reviews,price,Date
Sunglasses & frames,Sunglasses,John Jacobs,| Black - Grey | Full Rim Rectangular Stylish & Premium Polarized Sunglasses | Polarized and 100% UV Protected | Men & Women | Extra Wide | JJ S15862,3.7,5,"1,199",31-05-2023
Sunglasses & frames,Frames,LENSKART BLU,| Bluecut & Antiglare Computer Eyeglasses | Grey Full Rim Round Shape | For Men & Women | Medium | LB E14061,2.9,53,579,04-05-2023
Sunglasses & frames,Sunglasses,VINCENT CHASE EYEWEAR,| Full Rim Square Branded Latest and Stylish Sunglasses | Polarized and 100% UV Protected | Men & Women | Large | VC S12934 - Pack of 1,3.6,154,749,29-04-2023
Sunglasses & frames,Sunglasses,John Jacobs,| Gunmetal - Brown | Full Rim Rectangular Stylish & Premium Polarized Sunglasses | Polarized and 100% UV Protected | Men & Women | Extra Wide | JJ S15861,4.3,12,"1,199",11-04-2023
Sunglasses & frames,Smart sunglasses,John Jacobs,| Gunmetal - Green | Full Rim Pilot Stylish & Premium Polarized Sunglasses | Polarized and 100% UV Protected | Men & Women | Extra Wide | JJ S15863,3.7,30,"1,598",24-09-2023
Sunglasses & frames,Sunglasses,John Jacobs,| Gunmetal - Green | Full Rim Pilot Stylish & Premium Polarized Sunglasses | Polarized and 100% UV Protected | Men & Women | Extra Wide | JJ S15863,3.7,30,"1,598",19-07-2023
Sunglasses & frames,Sunglasses,John Jacobs,| Gunmetal - Grey | Full Rim Rectangular Stylish & Premium Polarized Sunglasses | Polarized and 100% UV Protected | Men & Women | Extra Wide | JJ S15860,4.1,7,"1,199",18-10-2023
Sunglasses & frames,Sunglasses,John Jacobs,| UV Protection Sunglasses for Men & Women | Grey Transparent Blue Solid Full Rim Square JJ S13313-C1,4.3,81,"1,839",11-01-2023
Sunglasses & frames,Sunglasses,John Jacobs,| UV Protection Sunglasses For Men & Women | Gunmetal Grey Gradient Full Rim Square Medium (Size-55) JJ S12961-C1-Pack of 1,3.9,25,"2,267",28-09-2023
Sunglasses & frames,Frames,LENSKART BLU,"| Zero Power Blue Cut Computer Glasses | Anti Glare, Lightweight & Blocks Harmful Rays | UV Protection Specs | Men & Women | Large | LB E13737",3.8,"5,066",579,28-04-2023
Sunglasses & frames,Frames,LENSKART BLU,"| Zero Power Blue Cut Computer Glasses | Anti Glare, Lightweight & Blocks Harmful Rays | UV Protection Specs | Men & Women | Medium | LB E13527",3.9,"1,360",595,17-06-2023
Sunglasses & frames,VTO,LENSKART BLU,"| Zero Power Blue Cut Computer Glasses | Anti Glare, Lightweight & Blocks Harmful Rays | UV Protection Specs | Men & Women | Medium | LB E13527",3.9,"1,360",595,26-03-2023
Sunglasses & frames,Frames,LENSKART BLU,| Zero Power Bluecut & Antiglare Computer Eyeglasses | Black Full Rim Rectangle For Men and Women | Large | LB E14255,3.8,113,579,10-04-2023
Sunglasses & frames,Frames,LENSKART BLU,| Zero Power Bluecut & Antiglare Computer Eyeglasses | Black Full Rim Square | For Men and Women | Large | LB E13533,3.9,79,744,29-04-2023
Sunglasses & frames,Frames,LENSKART BLU,| Zero Power Bluecut & Antiglare Computer Eyeglasses | Brown Full Rim Square | For Men & Women | Large | LB E14058,4,105,625,05-03-2023
Sunglasses & frames,VTO,LENSKART BLU,| Zero Power Bluecut & Antiglare Computer Eyeglasses | Brown Full Rim Square | For Men & Women | Large | LB E14058,4,105,625,17-05-2023
Sunglasses & frames,Frames,LENSKART BLU,| Zero Power Bluecut & Antiglare Computer Eyeglasses | Gold Full Rim Round | For Men & Women | Small | LB E14131,3.8,112,599,16-11-2023
Sunglasses & frames,VTO,LENSKART BLU,| Zero Power Bluecut & Antiglare Computer Eyeglasses | Gold Full Rim Round | For Men & Women | Small | LB E14131,3.8,112,599,06-03-2023
Sunglasses & frames,Frames,LENSKART BLU,| Zero Power Bluecut & Antiglare Computer Eyeglasses | Green Full Rim Square | For Men & Women | Large | L BE13533,3.7,28,619,13-02-2023
Sunglasses & frames,Frames,LENSKART BLU,| Zero Power Bluecut & Antiglare Computer Eyeglasses | Green Full Rim Square | For Men & Women | Large | L BE13533,3.7,28,619,01-06-2023
Sunglasses & frames,Frames,LENSKART BLU,| Zero Power Bluecut & Antiglare Computer Eyeglasses | Transparent Full Rim Round | For Men and Women | Large | LB E14271,3.5,168,579,17-11-2023
Sunglasses & frames,Frames,LENSKART BLU,| Zero Power Bluecut & Antiglare Computer Eyeglasses For Eye Protection And Strain | Full Rim Round | Men & Women | Large | LB E14059,3.7,25,749,29-01-2023
Sunglasses & frames,VTO,LENSKART BLU,| Zero Power Bluecut & Antiglare Computer Eyeglasses For Eye Protection And Strain | Full Rim Round | Men & Women | Large | LB E14061,3.6,314,579,05-03-2023
Sunglasses & frames,Frames,LENSKART BLU,| Zero Power Bluecut & Antiglare Computer Eyeglasses For Eye Protection And Strain | Full Rim Round | Men & Women | Large | LB E14061,3.6,314,579,11-04-2023
Sunglasses & frames,Frames,LENSKART BLU,| Zero Power Bluecut and Antiglare Computer Eyeglasses | Black Full Rim Rectangle | For Men and Women | Large | LB E14255,3.9,56,598,01-05-2023
Sunglasses & frames,Frames,GYNK,"|| Computer Glasses with no power blue cut lens || Trending,Rectangular,Unisex,UV Protection,Zero Power Spectacle || Stylish and Unique Eyeglasses Frame for Women and Men",3,17,699,13-05-2023
Women's clothing,Kurtas & sets,rangita,100% Cotton Straight Kurti for Women | Kurta for Women,4.9,10,759,27-08-2023
Sunglasses & frames,Customers'-most loved,Intellilens,100% UV Protect HD Vision Road Rider Wrap Around Polarized Sunglasses For Bikes Cars Driving Travelling Sports and Outdoors and Hiking RR2,3.9,"1,318","1,119",26-01-2023
Sunglasses & frames,VTO,Intellilens,100% UV Protect HD Vision Road Rider Wrap Around Polarized Sunglasses For Bikes Cars Driving Travelling Sports and Outdoors and Hiking RR2,3.9,"1,318","1,119",31-12-2023
Luggage & bags,Monsoon,Wesley,15 Liter Casual Daypack/collegeDaypack/tuitionbag/Backpack,3.6,907,189,10-06-2023
Accessories,Car & Vehicle Electronics Accessories,,"150W Car Laptop Charger/Power Inverter with 2 USB(3.1A Max) + 1 C Type(1 * 18W PD) Smart USB Charging Ports, 12V DC to 220V AC, 2X Universal AC Outlet Black",5,1,"1,999",07-09-2023
Luggage & bags,Monsoon,PFFY,2 PACK Compact Travel Umbrella Windproof Collapsible 10 RIBS Auto Open & Close Folding Small Umbrella Black + Blue,4.5,"4,442",670,29-04-2023
Handbags,,IRMAO,2023 New Flower Embroidered Artistic National Style Oxford Small Capacity Women's Bag Generation Backpack,3.6,46,399,24-12-2023
Jewellery,Gold coins & pendants,KISNA,24k (995) 10gm Yellow Gold Coin.,4,3,"66,500",22-04-2023
Jewellery,Gold coins & pendants,Bangalore Refinery,24k (999.9) 1 gm Yellow Gold Bar,4.6,"2,485","6,886",02-12-2023
Jewellery,Gold coins & pendants,Bangalore Refinery,24k (999.9) 10 gm Yellow Gold Bar,4.6,"1,372","66,728",12-09-2023
Jewellery,Gold coins & pendants,Bangalore Refinery,24k (999.9) 2 gm Yellow Gold Bar,4.6,"5,167","13,564",16-11-2023
Jewellery,Gold coins & pendants,Bangalore Refinery,24k (999.9) 5 gm Yellow Gold Bar,4.6,"3,038","33,304",29-01-2023
Accessories,Telephone Accessories,,2PCS NI-MH Cordless Phone Rechargeable Battery for Panasonic HHR-P107 3.6V Replacement Battery,4.2,7,885,12-10-2023
Luggage & bags,Monsoon,ADISA,31 Ltrs Casual Backpack School College Bag Pack,4,606,399,02-04-2023
Handbags,,floki,32 all Fashion Girls 3-PCS Fashion Cute Mini Leather Backpack sling & pouch set for Women/gift for girlfriend,3.5,87,499,21-06-2023
Luggage & bags,Monsoon,ADISA,32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,3.9,"4,617",499,23-12-2023
Luggage & bags,Monsoon,Wildcraft,35 Ltrs 18.5 cms Backpack (11911 Grey_Grey),4.2,219,992,29-08-2023
Luggage & bags,Backpacks,Half Moon,"35L Large 15.6 inch Backpack for Men/School Bags for Boys, Navy Blue | College Bags for Men/College Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",3.9,"18,569",699,23-05-2023
Handbags,,Prestigious,4 pieces fashion Pu Leather Women Backpack Teddy Bear Keychain Women Girls College Backpack Bag.,3.7,79,549,06-01-2023
Luggage & bags,Backpacks,FUR JADEN,"40L Weekender Travel Laptop Backpack with Anti Theft Pocket, Organizer, 15.6 Inch Padded Laptop Sleeve and Dual Handles",4.3,"2,060","1,229",03-12-2023
Women's clothing,Accessories,XJARVIS,"5 Pairs Ankle Length Half Terry Cotton Bamboo Socks Men & Women for Sports Cushion Unisex Towel Multicolor Socks Ideal for Gym, Casual Wear & Running Odor Free, Pack of 5",4,"1,550",239,11-09-2023
Accessories,Radio Communication Accessories,,50S Universal Clamp Kit Sound by Harman Kardon Speakers and Microphone,3,1,"12,499",01-10-2023
Luggage & bags,Backpacks,FUR JADEN,"55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",4.2,"6,467",849,10-07-2023
Men's clothing,,Marks & Spencer,5pk Pure Cotton Handkerchiefs,,,"1,299",21-07-2023
Women's clothing,Accessories,HOMEMATES,6 Pcs Black Brown Simple Fancy Plastic Mix Hair Bands Wavy Hair Comb Headband Teeth Comb Hair Accessories For Girls and Women (Style-2),4.2,122,269,23-04-2023
Luggage & bags,Suitcases,Skybags,68 cms Medium Check-in Polyester Soft Sided 4 Wheels Spinner Luggage/Suitcase/Trolley Bag- Blue,4.3,"16,112","3,099",02-09-2023
Women's clothing,Accessories,7 season's,7 season's Cotton Long Scarf Cum Mask Universal Size Usable for vehicle Driver for sunlight UV protection White Printed Design For Girl & Women (star),4.1,337,348,17-06-2023
Luggage & bags,Backpacks,WHITECRAFT,75 Liter Waterproof Rucksack Backpack with Rain Cover for Outdoor/Sports/Camping/Hiking/Trekking Bag for Men and Women with 1 Year Warranty (Black Army Green),3.5,12,984,03-09-2023
Men's clothing,,Marks & Spencer,7pk Antibacterial Pure Cotton Handkerchiefs with Sanitized Finish®,,,"1,499",17-03-2023
Jewellery,Men's Jewellery & accessories,Nakabh,8 inch Stylish Chain Style Stainless Steel Bracelet for Men Boys Unisex,3.9,"1,002",310,08-05-2023
Jewellery,Silver Jewellery,Clara,92.5 Sterling Silver Real Pearl Pendant with Chain | Valentine Gift for Women and Girls,4.2,547,"2,057",06-11-2023
Jewellery,Silver Jewellery,Clara,92.5 Sterling Silver Swiss Zirconia Pearl Earrings | Gift for Women and Girls,4.3,870,"1,959",21-05-2023
Jewellery,Silver Jewellery,Clara,92.5 Sterling Silver White Gold Plated Heart Solitaire Pendant Chain Necklace | Gift for Women & Girls,4.1,"1,551","1,469",18-02-2023
Jewellery,Silver Jewellery,GIVA,925 Sterling Silver 18k Gold Plated Anushka Sharma Star Constellation |Necklace to Gifts for Women & Girls |Valentines Gift for Girlfriend | With Certificate of Authenticity and 925 Stamp | 6 Months Warranty*,4,834,"1,529",05-11-2023
Jewellery,Silver Jewellery,GIVA,"925 Sterling Silver Anushka Sharma Falling Dew Necklace with Box Chain |Gifts for Girlfriend, Gifts for Women & Girls| With Certificate of Authenticity and 925 Stamp | 6 Month Warranty*",3.7,907,"1,439",28-12-2023
Jewellery,Silver Jewellery,GIVA,"925 Sterling Silver Anushka Sharma Zircon Deer Heart Pendant with Chain |Gifts for Girlfriend, Gifts for Women & Girls| With Certificate of Authenticity and 925 Stamp | 6 Month Warranty*",4,591,"1,619",30-01-2023
Jewellery,Silver Jewellery,Clara,925 Sterling Silver Heart Pendant Necklace | With or Without Chain | Gift for Women and Girls,4.1,126,"1,959",23-03-2023
Jewellery,Silver Jewellery,GIVA,"925 Sterling Silver Infinity Heart Necklace with Link Chain |Gifts for Girlfriend, Gifts for Women & Girls| With Certificate of Authenticity and 925 Stamp | 6 Month Warranty*",4,253,"1,619",16-10-2023
Jewellery,Silver Jewellery,GIVA,"925 Sterling Silver Princess Earrings|Gift for Girlfriend,Pendant to Gift Women & Girls |With Certificate of Authenticity and 925 Stamp|6 Month Warranty*",3.9,354,"1,529",31-10-2023
Jewellery,Silver Jewellery,GIVA,"925 Sterling Silver Rose Gold Bubble Bracelet, Adjustable | Valentines Gift for Girlfriend, Gifts for Women & Girls| With Certificate of Authenticity and 925 Stamp | 6 Month Warranty*",4,176,"1,529",22-01-2023
